source,target,type
ก๓๓,ก๓๓_6,broader
ก๓๓,ก๓๓_7,broader
ก๓๓,ก๓๓_8,broader
ก๓๓,ก๓๓_9,broader
ก๓๓,ก๓๓_10,broader
ก๓๓,ก๓๓_11,broader
ก๓๓,ก๓๓_12,broader
ก๓๓,ก๓๓_13,broader
ก๓๓,ก๓๓_14,broader
ก๓๓,ก๓๓_15,broader
ก๓๓,ก๓๓_16,broader
ก๓๓,ก๓๓_17,broader
ก๓๔,ก๓๔_1,broader
ก๓๔,ก๓๔_2,broader
ก๓๔,ก๓๔_3,broader
ก๓๔,ก๓๔_4,broader
ก๓๔,ก๓๔_5,broader
ก๓๕,ก๓๕_1,broader
ก๓๕,ก๓๕_2,broader
ก๓๕,ก๓๕_3,broader
ก๓๕,ก๓๕_4,broader
ก๓๕,ก๓๕_5,broader
ก๓๖,ก๓๖_1,broader
ก๓๖,ก๓๖_2,broader
ก๓๖,ก๓๖_3,broader
ก๓๖,ก๓๖_4,broader
ก๓๖,ก๓๖_5,broader
ก๓๖,ก๓๖_6,broader
ก๓๖,ก๓๖_7,broader
ก๓๖,ก๓๖_8,broader
ก๓๖,ก๓๖_9,broader
ก๓๖,ก๓๖_10,broader
ก๓๖,ก๓๖_11,broader
ก๓๗,ก๓๗_1,broader
ก๓๗,ก๓๗_2,broader
ก๓๗,ก๓๗_3,broader
ก๓๗,ก๓๗_4,broader
ก๓๗,ก๓๗_5,broader
ก๓๗,ก๓๗_6,broader
ก๓๗,ก๓๗_7,broader
ก๓๘,ก๓๘_1,broader
ก๓๘,ก๓๘_2,broader
ก๓๘,ก๓๘_3,broader
ก๓๙,ก๓๙_1,broader
ก๓๙,ก๓๙_2,broader
ก๔๐,ก๔๐_1,broader
ก๔๐,ก๔๐_2,broader
ก๔๐,ก๔๐_3,broader
ก๔๐,ก๔๐_4,broader
ก๔๑,ก๔๑_1,broader
ก๔๑,ก๔๑_2,broader
ก๔๑,ก๔๑_3,broader
ก๔๑,ก๔๑_4,broader
ก๔๑,ก๔๑_5,broader
ก๔๒,ก๔๒_1,broader
ก๔๒,ก๔๒_2,broader
ก๔๒,ก๔๒_3,broader
ก๔๒,ก๔๒_4,broader
ก๔๓,ก๔๓_1,broader
ก๔๓,ก๔๓_2,broader
ก๔๓,ก๔๓_3,broader
ก๔๔,ก๔๔_1,broader
ก๔๔,ก๔๔_2,broader
ก๔๕,ก๔๕_1,broader
ก๔๖,ก๔๖_1,broader
ก๔๖,ก๔๖_2,broader
ก๔๖,ก๔๖_3,broader
ก๔๖,ก๔๖_4,broader
ก๔๖,ก๔๖_5,broader
ก๔๖,ก๔๖_6,broader
ก๔๖,ก๔๖_7,broader
